Precinct,1ST CHOICE COUNCIL MEMBER WARD TEN WARD 10,2ND CHOICE COUNCIL MEMBER WARD TEN WARD 10,3RD CHOICE COUNCIL MEMBER WARD TEN WARD 10,COUNT
MINNEAPOLIS W-10 P-02,MEG TUTHILL,undervote,undervote,1
MINNEAPOLIS W-10 P-06,MEG TUTHILL,LISA BENDER,NATE GRIGGS,1
MINNEAPOLIS W-10 P-04,MEG TUTHILL,undervote,undervote,1
MINNEAPOLIS W-10 P-07,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-04,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-03A,MEG TUTHILL,undervote,undervote,1
MINNEAPOLIS W-10 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-07,LISA BENDER,NATE GRIGGS,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-06,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-01,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-04,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-05A,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-06,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-04,MEG TUTHILL,LISA BENDER,NATE GRIGGS,1
MINNEAPOLIS W-10 P-02,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-02,NATE GRIGGS,undervote,undervote,1
MINNEAPOLIS W-10 P-09,LISA BENDER,SCOTT HARGARTEN,undervote,1
MINNEAPOLIS W-10 P-06,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,MEG TUTHILL,SCOTT HARGARTEN,NATE GRIGGS,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-03A,MEG TUTHILL,LISA BENDER,NATE GRIGGS,1
MINNEAPOLIS W-10 P-07,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-08,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-06,LISA BENDER,NATE GRIGGS,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-05A,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-04,LISA BENDER,NATE GRIGGS,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-09,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-04,MEG TUTHILL,LISA BENDER,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-08,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-09,MEG TUTHILL,undervote,undervote,1
MINNEAPOLIS W-10 P-04,SCOTT HARGARTEN,undervote,undervote,1
MINNEAPOLIS W-10 P-01,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-05A,LISA BENDER,NATE GRIGGS,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-02,LISA BENDER,NATE GRIGGS,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-08,MEG TUTHILL,undervote,undervote,1
MINNEAPOLIS W-10 P-06,LISA BENDER,MEG TUTHILL,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-09,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-03A,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-08,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-04,SCOTT HARGARTEN,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-01,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-01,MEG TUTHILL,LISA BENDER,NATE GRIGGS,1
MINNEAPOLIS W-10 P-01,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-04,MEG TUTHILL,undervote,undervote,1
MINNEAPOLIS W-10 P-01,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-04,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-05A,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-06,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-07,NATE GRIGGS,undervote,undervote,1
MINNEAPOLIS W-10 P-06,MEG TUTHILL,LISA BENDER,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-01,MEG TUTHILL,NATE GRIGGS,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-04,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-07,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-01,LISA BENDER,NATE GRIGGS,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-07,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-02,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-08,MEG TUTHILL,undervote,undervote,1
MINNEAPOLIS W-10 P-07,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-02,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-04,LISA BENDER,SCOTT HARGARTEN,NATE GRIGGS,1
MINNEAPOLIS W-10 P-02,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-03A,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-03A,MEG TUTHILL,undervote,undervote,1
MINNEAPOLIS W-10 P-09,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-05A,MEG TUTHILL,LISA BENDER,NATE GRIGGS,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,UWI,UWI,1
MINNEAPOLIS W-10 P-08,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-04,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-07,MEG TUTHILL,undervote,undervote,1
MINNEAPOLIS W-10 P-02,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-09,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-01,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-08,MEG TUTHILL,NATE GRIGGS,LISA BENDER,1
MINNEAPOLIS W-10 P-02,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-02,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,NATE GRIGGS,MEG TUTHILL,1
MINNEAPOLIS W-10 P-05A,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-08,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-04,LISA BENDER,MEG TUTHILL,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-02,LISA BENDER,MEG TUTHILL,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-04,NATE GRIGGS,LISA BENDER,MEG TUTHILL,1
MINNEAPOLIS W-10 P-05A,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-01,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-08,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-05A,NATE GRIGGS,undervote,undervote,1
MINNEAPOLIS W-10 P-06,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-02,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-07,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-01,LISA BENDER,NATE GRIGGS,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-06,NATE GRIGGS,undervote,undervote,1
MINNEAPOLIS W-10 P-07,SCOTT HARGARTEN,NATE GRIGGS,LISA BENDER,1
MINNEAPOLIS W-10 P-03A,MEG TUTHILL,undervote,undervote,1
MINNEAPOLIS W-10 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-05A,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-07,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-08,LISA BENDER,MEG TUTHILL,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-05A,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-06,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,MEG TUTHILL,LISA BENDER,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-08,LISA BENDER,NATE GRIGGS,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-03A,MEG TUTHILL,undervote,undervote,1
MINNEAPOLIS W-10 P-05A,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-07,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-04,LISA BENDER,SCOTT HARGARTEN,MEG TUTHILL,1
MINNEAPOLIS W-10 P-07,undervote,NATE GRIGGS,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-06,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-08,MEG TUTHILL,LISA BENDER,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-01,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-04,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-05A,MEG TUTHILL,LISA BENDER,NATE GRIGGS,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-07,LISA BENDER,MEG TUTHILL,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-06,LISA BENDER,SCOTT HARGARTEN,NATE GRIGGS,1
MINNEAPOLIS W-10 P-07,NATE GRIGGS,undervote,undervote,1
MINNEAPOLIS W-10 P-01,LISA BENDER,MEG TUTHILL,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-06,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-01,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-02,LISA BENDER,MEG TUTHILL,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-06,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-01,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-01,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-05A,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-02,LISA BENDER,NATE GRIGGS,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-05A,LISA BENDER,NATE GRIGGS,undervote,1
MINNEAPOLIS W-10 P-05A,MEG TUTHILL,undervote,undervote,1
MINNEAPOLIS W-10 P-01,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-02,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-04,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-05A,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-06,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-09,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-04,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-01,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-07,NATE GRIGGS,SCOTT HARGARTEN,MEG TUTHILL,1
MINNEAPOLIS W-10 P-05A,LISA BENDER,UWI,undervote,1
MINNEAPOLIS W-10 P-02,MEG TUTHILL,LISA BENDER,UWI,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-07,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-08,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-02,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-08,LISA BENDER,SCOTT HARGARTEN,MEG TUTHILL,1
MINNEAPOLIS W-10 P-03A,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-08,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-09,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-07,LISA BENDER,MEG TUTHILL,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-07,SCOTT HARGARTEN,NATE GRIGGS,undervote,1
MINNEAPOLIS W-10 P-01,MEG TUTHILL,SCOTT HARGARTEN,undervote,1
MINNEAPOLIS W-10 P-01,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-05A,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-02,MEG TUTHILL,undervote,undervote,1
MINNEAPOLIS W-10 P-05A,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-02,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-04,LISA BENDER,MEG TUTHILL,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-03A,MEG TUTHILL,NATE GRIGGS,LISA BENDER,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,SCOTT HARGARTEN,NATE GRIGGS,1
MINNEAPOLIS W-10 P-05A,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-02,MEG TUTHILL,NATE GRIGGS,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-07,LISA BENDER,NATE GRIGGS,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-05A,MEG TUTHILL,SCOTT HARGARTEN,NATE GRIGGS,1
MINNEAPOLIS W-10 P-01,MEG TUTHILL,NATE GRIGGS,LISA BENDER,1
MINNEAPOLIS W-10 P-05A,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-01,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-06,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-07,MEG TUTHILL,undervote,undervote,1
MINNEAPOLIS W-10 P-08,LISA BENDER,NATE GRIGGS,MEG TUTHILL,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-03A,MEG TUTHILL,SCOTT HARGARTEN,undervote,1
MINNEAPOLIS W-10 P-05A,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-05A,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-09,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-06,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-01,SCOTT HARGARTEN,NATE GRIGGS,UWI,1
MINNEAPOLIS W-10 P-04,MEG TUTHILL,NATE GRIGGS,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-01,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-06,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-01,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-01,LISA BENDER,NATE GRIGGS,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-07,LISA BENDER,MEG TUTHILL,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-04,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-06,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-07,LISA BENDER,NATE GRIGGS,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-08,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,MEG TUTHILL,UWI,1
MINNEAPOLIS W-10 P-05A,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-06,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-05A,LISA BENDER,NATE GRIGGS,undervote,1
MINNEAPOLIS W-10 P-08,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-04,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-07,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-01,LISA BENDER,NATE GRIGGS,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-08,LISA BENDER,MEG TUTHILL,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-07,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-01,MEG TUTHILL,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-08,LISA BENDER,LISA BENDER,LISA BENDER,1
MINNEAPOLIS W-10 P-07,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-05A,LISA BENDER,NATE GRIGGS,MEG TUTHILL,1
MINNEAPOLIS W-10 P-07,MEG TUTHILL,undervote,undervote,1
MINNEAPOLIS W-10 P-06,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-07,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-07,LISA BENDER,NATE GRIGGS,undervote,1
MINNEAPOLIS W-10 P-06,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-01,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,MEG TUTHILL,UWI,1
MINNEAPOLIS W-10 P-03A,MEG TUTHILL,SCOTT HARGARTEN,NATE GRIGGS,1
MINNEAPOLIS W-10 P-05A,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-05A,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-04,SCOTT HARGARTEN,undervote,undervote,1
MINNEAPOLIS W-10 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-07,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-05A,NATE GRIGGS,NATE GRIGGS,NATE GRIGGS,1
MINNEAPOLIS W-10 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-02,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-09,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-06,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-07,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-08,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-06,NATE GRIGGS,SCOTT HARGARTEN,LISA BENDER,1
MINNEAPOLIS W-10 P-04,SCOTT HARGARTEN,LISA BENDER,MEG TUTHILL,1
MINNEAPOLIS W-10 P-06,LISA BENDER,SCOTT HARGARTEN,NATE GRIGGS,1
MINNEAPOLIS W-10 P-09,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-09,LISA BENDER,NATE GRIGGS,MEG TUTHILL,1
MINNEAPOLIS W-10 P-03A,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-06,LISA BENDER,NATE GRIGGS,undervote,1
MINNEAPOLIS W-10 P-02,MEG TUTHILL,LISA BENDER,NATE GRIGGS,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-01,MEG TUTHILL,NATE GRIGGS,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-04,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,UWI,UWI,1
MINNEAPOLIS W-10 P-01,LISA BENDER,NATE GRIGGS,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-06,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-02,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-02,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-01,NATE GRIGGS,MEG TUTHILL,LISA BENDER,1
MINNEAPOLIS W-10 P-07,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-08,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-05A,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-02,LISA BENDER,SCOTT HARGARTEN,NATE GRIGGS,1
MINNEAPOLIS W-10 P-04,LISA BENDER,NATE GRIGGS,MEG TUTHILL,1
MINNEAPOLIS W-10 P-06,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-07,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-01,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-05A,MEG TUTHILL,LISA BENDER,NATE GRIGGS,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-02,LISA BENDER,MEG TUTHILL,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-02,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-02,MEG TUTHILL,LISA BENDER,NATE GRIGGS,1
MINNEAPOLIS W-10 P-04,MEG TUTHILL,undervote,undervote,1
MINNEAPOLIS W-10 P-01,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-09,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-02,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-08,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-06,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-05A,MEG TUTHILL,NATE GRIGGS,LISA BENDER,1
MINNEAPOLIS W-10 P-07,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-01,MEG TUTHILL,undervote,undervote,1
MINNEAPOLIS W-10 P-05A,MEG TUTHILL,LISA BENDER,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-02,LISA BENDER,NATE GRIGGS,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,NATE GRIGGS,MEG TUTHILL,1
MINNEAPOLIS W-10 P-02,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-01,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-06,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-07,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-04,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-05A,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-02,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-08,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-01,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-01,MEG TUTHILL,UWI,UWI,1
MINNEAPOLIS W-10 P-05A,LISA BENDER,SCOTT HARGARTEN,UWI,1
MINNEAPOLIS W-10 P-09,LISA BENDER,SCOTT HARGARTEN,NATE GRIGGS,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-08,MEG TUTHILL,SCOTT HARGARTEN,NATE GRIGGS,1
MINNEAPOLIS W-10 P-02,MEG TUTHILL,LISA BENDER,undervote,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-06,LISA BENDER,UWI,undervote,1
MINNEAPOLIS W-10 P-02,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-04,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-07,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-06,NATE GRIGGS,undervote,undervote,1
MINNEAPOLIS W-10 P-06,MEG TUTHILL,SCOTT HARGARTEN,NATE GRIGGS,1
MINNEAPOLIS W-10 P-05A,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-06,MEG TUTHILL,undervote,undervote,1
MINNEAPOLIS W-10 P-04,MEG TUTHILL,NATE GRIGGS,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-05A,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-09,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-08,MEG TUTHILL,SCOTT HARGARTEN,LISA BENDER,1
MINNEAPOLIS W-10 P-08,MEG TUTHILL,LISA BENDER,NATE GRIGGS,1
MINNEAPOLIS W-10 P-05A,MEG TUTHILL,LISA BENDER,NATE GRIGGS,1
MINNEAPOLIS W-10 P-07,MEG TUTHILL,LISA BENDER,NATE GRIGGS,1
MINNEAPOLIS W-10 P-01,MEG TUTHILL,LISA BENDER,NATE GRIGGS,1
MINNEAPOLIS W-10 P-05A,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-07,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-06,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-02,MEG TUTHILL,undervote,undervote,1
MINNEAPOLIS W-10 P-06,LISA BENDER,LISA BENDER,LISA BENDER,1
MINNEAPOLIS W-10 P-01,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-06,LISA BENDER,MEG TUTHILL,undervote,1
MINNEAPOLIS W-10 P-01,LISA BENDER,undervote,undervote,1
MINNEAPOLIS W-10 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-05A,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,LISA BENDER,MEG TUTHILL,NATE GRIGGS,1
MINNEAPOLIS W-10 P-03A,MEG TUTHILL,LISA BENDER,SCOTT HARGARTEN,1
MINNEAPOLIS W-10 P-04,MEG TUTHILL,undervote,undervote,1
MINNEAPOLIS W-10 P-02,MEG TUTHILL,LISA BENDER,NATE GRIGGS,1
